Positionsachse	 Global	
Werteachse	Global	
x(mm)	y(mm)	z(mm)	Wert(MPa)	
2,12669	51,4429	9,40036	80,6841	
2	115,311	4,92612	105,327	
2	109,397	5,33969	102,392	
2	94,0249	6,41462	98,298	
2	86,7785	6,92134	98,6707	
2	78,7514	7,48265	96,3343	
2	71,1604	8,01346	91,791	
2,10972	123,961	4,33728	105,569	
3,08295	131	3,95536	84,5192	
2,10378	123,87	-4,34288	105,134	
3,03588	130,775	-3,96592	85,913	
2	117,239	-4,79132	106,582	
2	113,198	-5,07393	104,53	
2	109,352	-5,34283	101,952	
2	104,832	-5,6589	101,113	
2	101,082	-5,92112	98,9865	
2	98,0162	-6,13552	98,3063	
2	93,6146	-6,44332	98,2017	
2	90,5485	-6,65772	98,8827	
2	87,7683	-6,85213	97,9418	
2	82,7749	-7,2013	97,0817	
2	78,5864	-7,49419	96,0465	
2	71,7129	-7,97483	93,0272	
2	69,8953	-8,10193	91,4145	
2	64,9682	-8,44646	89,9981	
2	61,3725	-8,6979	88,8882	
2	57,6977	-8,95487	87,0285	
3,15873	44,2981	-9,99654	61,2264	
2,52144	47,7978	-9,69091	72,664	
2,16021	51,0006	-9,43412	81,1609	
-2,63275	22,1403	-32,0617	2,63994	
-2,63275	17,7946	-32,0617	3,32987	
-2,63275	11,7785	-32,0617	4,42163	
-2,63275	6,20134	-32,0617	4,96617	
-2,63275	22,1599	32,0617	2,76713	
-2,63275	16,3736	32,0617	3,61225	
-2,63275	9,37838	32,0617	4,69207	
-2,63275	4,66887	32,0617	4,88366	
-2,05446	122,983	4,39856	106,012	
-3,22901	131,668	3,92468	81,8024	
-2	117,465	4,77557	106,977	
-2	112,775	5,10349	104,703	
-2	109,025	5,36572	102,642	
-2	105,001	5,64707	100,968	
-2	101,525	5,89017	99,0558	
-2	97,3323	6,18335	98,1138	
-2	94,0249	6,41462	98,9298	
-2	90,2749	6,67685	98,8733	
-2	88,1264	6,82709	97,6323	
-2	82,7749	7,2013	96,9543	
-2	79,0336	7,46292	95,7663	
-2	72,6214	7,9113	93,8805	
-2	69,4824	8,1308	91,872	
-2	64,7364	8,46268	89,7975	
-2	60,9135	8,73	89,2656	
-2	57,574	8,96352	88,2662	
-3,05731	44,7719	9,95359	63,7886	
-2,29543	49,5727	9,54594	75,9412	
-2,14517	51,1927	9,41941	81,264	
-3,09831	44,5777	-9,97114	62,6781	
-2,3583	49,0249	-9,58997	74,9563	
5,72829	57,8003	10,2431	88,3072	
-2	108,791	-5,38205	102,352	
-2	93,0536	-6,48254	98,1256	
-2	87,2411	-6,88899	98,5535	
-2	78,7514	-7,48265	96,9254	
-2,098	123,779	-4,34851	106,777	
-3,05199	130,853	-3,96227	85,0589	
-5,38016	36,9282	-7,17031	43,2395	
-5,30626	37,12	-2,48456	48,0231	
-5,31174	37,1057	2,6796	46,4768	
-5,40377	36,8674	6,94325	41,3322	
-4,3925	-30	31,1113	1,90091	
4,3925	-30	31,1113	2,02959	
-12	-28,1061	-7,14474	6,16864	
-12	-6,39466	-28,2862	5,60928	
-8	-21,7292	-20,7884	5,23466	
-8	-27,0767	-13,083	5,97937	
-8	-6,16517	29,433	5,14588	
-8	-21,5233	21,0015	5,14128	
-8	-28,1602	10,5506	5,83638	
-12	-6,31138	28,3049	5,26226	
-12	-28,0814	7,24128	5,83231	
8	-21,2223	-21,3056	5,01324	
8	-28,091	-10,7334	5,67719	
12	-28,1931	-6,79341	5,70579	
12	-5,68555	-28,4372	5,36489	
12	-6,12833	28,3451	5,37401	
12	-28,2352	6,61628	6,34548	
8	-5,9037	29,4866	5,3064	
8	-20,1826	22,293	5,03325	
8	-27,7467	11,5945	6,03077	
-3,51033	-24,3434	35,4177	1,63712	
-3,51033	-18,6008	35,4177	3,00058	
-3,51033	-11,2266	35,4177	4,27343	
-3,51033	-5,20382	35,4177	5,08563	
-7,34788e-016	-23,327	29,5	3,29791	
-7,34788e-016	-18,1095	29,5	4,26188	
-7,34788e-016	-4,45852	29,5	5,69966	
2,44929e-016	-23,2842	37,5	1,85543	
2,44929e-016	-17,5683	37,5	2,55747	
2,44929e-016	-10,7707	37,5	4,18207	
2,44929e-016	-6,07468	37,5	4,8122	
3,51033	-25,5513	35,4177	1,44022	
3,51033	-18,4751	35,4177	3,0221	
3,51033	-11,604	35,4177	4,22385	
3,51033	-4,73286	35,4177	4,95542	
3,42959	-30	-29,8616	2,30599	
-2,55092	-30	-37,8003	0,59064	
-4,30024	-30	-30,9489	2,19135	
3,51033	-25,1424	-35,4177	1,75083	
3,51033	-19,1404	-35,4177	2,77683	
3,51033	-12,7266	-35,4177	3,98388	
3,51033	-6,79009	-35,4177	4,80132	
-7,34788e-016	-24,1214	-29,5	3,29698	
-7,34788e-016	-18,6483	-29,5	4,13711	
-7,34788e-016	-5,6557	-29,5	5,31894	
2,44929e-016	-26,6892	-37,5	0,877182	
2,44929e-016	-19,0743	-37,5	2,3533	
2,44929e-016	-10,5714	-37,5	4,32371	
